decile,nb_clients,nb_defauts,proba_moy,taux_defaut,pct_defauts_captures
0,30751,9219.0,0.3019255741579197,29.98,37.14
1,30751,4845.0,0.149378838859374,15.76,56.65
2,30751,3164.0,0.09935640020424617,10.29,69.4
3,30751,2327.0,0.07171407444771681,7.57,78.77
4,30751,1658.0,0.05388493106631018,5.39,85.45
5,30751,1297.0,0.04120611145614283,4.22,90.67
6,30751,886.0,0.03152358418367809,2.88,94.24
7,30751,671.0,0.02369712949642417,2.18,96.95
8,30751,495.0,0.016867363776246515,1.61,98.94
9,30752,263.0,0.0096287838211791,0.86,100.0
